,sample_name,dose,timepoint,drug,viability
309,BULK2_n1,d9,48h,Cytarabine,0.540415704387991
310,BULK2_n1,d10,48h,Cytarabine,0.420323325635104
311,BULK2_n2,d1,48h,Cytarabine,1.09538461538462
312,BULK2_n2,d2,48h,Cytarabine,1.17615384615385
313,BULK2_n2,d3,48h,Cytarabine,1.18653846153846
314,BULK2_n2,d4,48h,Cytarabine,1.22538461538462
315,BULK2_n2,d5,48h,Cytarabine,1.21038461538462
316,BULK2_n2,d6,48h,Cytarabine,1.18730769230769
317,BULK2_n2,d7,48h,Cytarabine,0.933076923076923
318,BULK2_n2,d8,48h,Cytarabine,0.726153846153846
319,BULK2_n2,d9,48h,Cytarabine,0.563461538461538
320,BULK2_n2,d10,48h,Cytarabine,0.431538461538462
321,BULK3_n1,d1,48h,Cytarabine,1.13116057233704
322,BULK3_n1,d2,48h,Cytarabine,1.15441176470588
323,BULK3_n1,d3,48h,Cytarabine,1.18998410174881
324,BULK3_n1,d4,48h,Cytarabine,1.19217011128776
325,BULK3_n1,d5,48h,Cytarabine,1.13056438791733
326,BULK3_n1,d6,48h,Cytarabine,1.15401430842607
327,BULK3_n1,d7,48h,Cytarabine,0.900834658187599
328,BULK3_n1,d8,48h,Cytarabine,0.739268680445151
329,BULK3_n1,d9,48h,Cytarabine,0.637718600953895
330,BULK3_n1,d10,48h,Cytarabine,0.489268680445151
331,BULK3_n2,d1,48h,Cytarabine,1.16185425260263
332,BULK3_n2,d2,48h,Cytarabine,1.17285405617757
333,BULK3_n2,d3,48h,Cytarabine,1.19269298762522
334,BULK3_n2,d4,48h,Cytarabine,1.19858573954037
335,BULK3_n2,d5,48h,Cytarabine,1.13572971911216
336,BULK3_n2,d6,48h,Cytarabine,1.12315851502652
337,BULK3_n2,d7,48h,Cytarabine,0.950108033785111
338,BULK3_n2,d8,48h,Cytarabine,0.786485955607936
339,BULK3_n2,d9,48h,Cytarabine,0.644274209389118
340,BULK3_n2,d10,48h,Cytarabine,0.493812610489098
341,BULK4_n1,d1,48h,Cytarabine,1.11251125112511
342,BULK4_n1,d2,48h,Cytarabine,1.0951095109511
343,BULK4_n1,d3,48h,Cytarabine,1.14611461146115
344,BULK4_n1,d4,48h,Cytarabine,1.13411341134113
345,BULK4_n1,d5,48h,Cytarabine,1.1959195919592
346,BULK4_n1,d6,48h,Cytarabine,1.23582358235824
347,BULK4_n1,d7,48h,Cytarabine,1.08640864086409
348,BULK4_n1,d8,48h,Cytarabine,0.934893489348935
349,BULK4_n1,d9,48h,Cytarabine,0.755475547554755
350,BULK4_n1,d10,48h,Cytarabine,0.586858685868587
351,BULK4_n2,d1,48h,Cytarabine,0.94100054377379
352,BULK4_n2,d2,48h,Cytarabine,0.95405111473627
353,BULK4_n2,d3,48h,Cytarabine,0.95731375747689
354,BULK4_n2,d4,48h,Cytarabine,1.015769439913
355,BULK4_n2,d5,48h,Cytarabine,1.01114736269712
356,BULK4_n2,d6,48h,Cytarabine,1.09244154431756
357,BULK4_n2,d7,48h,Cytarabine,1.02311038607939
358,BULK4_n2,d8,48h,Cytarabine,0.943719412724307
359,BULK4_n2,d9,48h,Cytarabine,0.721859706362153
360,BULK4_n2,d10,48h,Cytarabine,0.567427949972811
361,BULK5_n1,d1,48h,Cytarabine,1.08827586206897
362,BULK5_n1,d2,48h,Cytarabine,1.17318007662835
363,BULK5_n1,d3,48h,Cytarabine,1.1416091954023
364,BULK5_n1,d4,48h,Cytarabine,1.14375478927203
365,BULK5_n1,d5,48h,Cytarabine,1.08229885057471
366,BULK5_n1,d6,48h,Cytarabine,1.07049808429119
367,BULK5_n1,d7,48h,Cytarabine,0.960766283524904
368,BULK5_n1,d8,48h,Cytarabine,0.907892720306513
369,BULK5_n1,d9,48h,Cytarabine,0.734252873563218
370,BULK5_n1,d10,48h,Cytarabine,0.600153256704981
371,BULK5_n2,d1,48h,Cytarabine,1.11979823455233
372,BULK5_n2,d2,48h,Cytarabine,1.18411097099622
373,BULK5_n2,d3,48h,Cytarabine,1.20602143757881
374,BULK5_n2,d4,48h,Cytarabine,1.140605296343
375,BULK5_n2,d5,48h,Cytarabine,1.14170870113493
376,BULK5_n2,d6,48h,Cytarabine,1.08543505674653
377,BULK5_n2,d7,48h,Cytarabine,1.0171815889029
378,BULK5_n2,d8,48h,Cytarabine,0.901166456494325
379,BULK5_n2,d9,48h,Cytarabine,0.71437578814628
380,BULK5_n2,d10,48h,Cytarabine,0.647540983606557
381,BULK6_n1,d1,48h,Cytarabine,1.08314039149653
382,BULK6_n1,d2,48h,Cytarabine,1.12565775626184
383,BULK6_n1,d3,48h,Cytarabine,1.16901704904231
384,BULK6_n1,d4,48h,Cytarabine,1.17112186908019
385,BULK6_n1,d5,48h,Cytarabine,1.07661544937908
386,BULK6_n1,d6,48h,Cytarabine,1.09576931172385
387,BULK6_n1,d7,48h,Cytarabine,0.96821721742791
388,BULK6_n1,d8,48h,Cytarabine,0.859187539465376
389,BULK6_n1,d9,48h,Cytarabine,0.693538202483688
390,BULK6_n1,d10,48h,Cytarabine,0.510208377183751
391,BULK6_n2,d1,48h,Cytarabine,1.142736128759
392,BULK6_n2,d2,48h,Cytarabine,1.15036001694197
393,BULK6_n2,d3,48h,Cytarabine,1.14464210080474
394,BULK6_n2,d4,48h,Cytarabine,1.18678526048285
395,BULK6_n2,d5,48h,Cytarabine,1.15014824227022
396,BULK6_n2,d6,48h,Cytarabine,1.14040660736976
397,BULK6_n2,d7,48h,Cytarabine,0.975857687420585
398,BULK6_n2,d8,48h,Cytarabine,0.818720880982635
